proposition_id,scholar_id,proposition_text_zh,year,concept_ids,evidence_passage_ids
PROP_WIENER_1948_A,SCH_WIENER,控制论研究动物和机器中控制和通信的科学，反馈机制是系统自我调节的关键。,1948,CONCEPT_CYBERNETICS,PAS_0020
PROP_NOELLE_NEUMANN_1974_A,SCH_NOELLE_NEUMANN,当人们感知到自己的观点属于少数时，会倾向于保持沉默，形成「沉默的螺旋」效应。,1974,CONCEPT_SPIRAL_OF_SILENCE,PAS_0021
PROP_GERBNER_1976_A,SCH_GERBNER,长期接触电视内容会使观众对社会现实的认知趋向电视所呈现的图景（涵化效果）。,1976,CONCEPT_CULTIVATION,PAS_0022
PROP_ROGERS_1962_A,SCH_ROGERS,创新通过特定渠道在社会系统成员间传播，采纳者可分为创新者、早期采纳者、早期多数、晚期多数和落后者。,1962,CONCEPT_DIFFUSION,PAS_0023
PROP_WILLIAMS_1958_A,SCH_WILLIAMS,文化是普通的——文化不是精英的专属，而是整个生活方式，包括普通人的日常实践。,1958,CONCEPT_ENCODING_DECODING,PAS_0046
PROP_HOGGART_1957_A,SCH_HOGGART,工人阶级文化具有独特价值，大众文化的商业化正在侵蚀传统社区的有机联系。,1957,CONCEPT_ENCODING_DECODING,PAS_0047
PROP_EP_THOMPSON_1963_A,SCH_EP_THOMPSON,工人阶级不是被动的历史客体，而是通过文化实践主动创造自身历史的能动主体。,1963,CONCEPT_ENCODING_DECODING,PAS_0048
PROP_MORLEY_1980_A,SCH_MORLEY,电视观众根据自身社会位置对节目进行不同解读，存在主导、协商和对抗三种解码立场。,1980,CONCEPT_ENCODING_DECODING,PAS_0049
PROP_FISKE_1989_A,SCH_FISKE,大众文化中存在快感与抵抗的政治，受众能够从主流文本中创造出对抗性意义。,1989,CONCEPT_ENCODING_DECODING,PAS_0050
PROP_SARNOFF_1926_A,SCH_SARNOFF,广播应当成为商业化的大众娱乐媒体，通过广告支持实现免费收听的公共服务。,1926,CONCEPT_MEDIUM_MESSAGE,PAS_0060
PROP_PALEY_1928_A,SCH_PALEY,广播网络应当以节目质量取胜，通过明星制和优质娱乐内容建立品牌忠诚度。,1928,CONCEPT_MEDIUM_MESSAGE,PAS_0061
PROP_WALTERS_1976_A,SCH_WALTERS,女性新闻工作者能够胜任严肃政治报道，电视新闻应当突破性别界限。,1976,CONCEPT_FOURTH_ESTATE,PAS_0062
PROP_TURNER_1980_A,SCH_TURNER,新闻不应受制于时段限制，24小时全天候新闻频道能够满足公众即时知情的需求。,1980,CONCEPT_GLOBAL_VILLAGE,PAS_0063
PROP_PAGE_1927_A,SCH_PAGE,企业公共关系应当建立在真诚透明的基础上，公司行为必须与公众利益相一致。,1927,CONCEPT_PUBLIC_RELATIONS,PAS_0064
PROP_BYOIR_1930_A,SCH_BYOIR,公共关系是一种全方位的专业服务，涵盖研究、策划、执行和评估的完整流程。,1930,CONCEPT_PUBLIC_RELATIONS,PAS_0065
PROP_BURSON_1953_A,SCH_BURSON,公共关系必须全球化运作，跨国企业需要统一协调的国际传播策略。,1953,CONCEPT_PUBLIC_RELATIONS,PAS_0066
PROP_DAN_SCHILLER_1999_A,SCH_DAN_SCHILLER,数字资本主义——信息技术和网络并非中立工具，而是资本主义逻辑的延伸，服务于企业利润和市场扩张。,1999,CONCEPT_NETWORK_SOCIETY,PAS_0070
PROP_MOSCO_1996_A,SCH_MOSCO,传播政治经济学研究权力如何介入传播资源的生产、分配和消费，商品化、空间化和结构化是核心过程。,1996,CONCEPT_PROPAGANDA_MODEL,PAS_0071
PROP_MURDOCK_1982_A,SCH_MURDOCK,媒体所有权集中削弱了内容多样性和公共利益，少数企业控制信息流动威胁民主参与。,1982,CONCEPT_PROPAGANDA_MODEL,PAS_0072
PROP_LEVINSON_1999_A,SCH_LEVINSON,新新媒介——互联网和数字媒介延续并增强了人类感官和认知能力，是媒介进化的必然结果。,1999,CONCEPT_MEDIA_ECOLOGY,PAS_0073
PROP_STRATE_1998_A,SCH_STRATE,媒介生态学研究媒介环境如何影响人类感知、理解和价值观，媒介是塑造文化的隐性力量。,1998,CONCEPT_MEDIA_ECOLOGY,PAS_0074
PROP_NYSTROM_1973_A,SCH_NYSTROM,媒介生态学是关于媒介环境的研究，探索媒介如何影响人类感知、情感、认知和价值观。,1973,CONCEPT_MEDIA_ECOLOGY,PAS_0075
PROP_PARK_1921_A,SCH_PARK,城市是一个社会实验室，报纸在城市生态系统中扮演着信息流通和社会整合的重要角色。,1921,CONCEPT_URBAN_ECOLOGY,PAS_0051
PROP_MEAD_1934_A,SCH_MEAD,自我是通过社会互动形成的，人们通过「有意义的符号」进行沟通，语言是社会化的核心媒介。,1934,CONCEPT_SYMBOLIC_INTERACTION,PAS_0052
PROP_BLUMER_1937_A,SCH_BLUMER,人们根据事物对他们的意义来行动，意义产生于社会互动，并在解释过程中不断被修改。,1937,CONCEPT_SYMBOLIC_INTERACTION,PAS_0053
PROP_ONG_1982_A,SCH_ONG,书写技术重构了人类意识，口语文化与书面文化代表了两种根本不同的思维方式和社会组织形态。,1982,CONCEPT_MEDIA_ECOLOGY,PAS_0054
PROP_HAVELOCK_1963_A,SCH_HAVELOCK,古希腊从口语向书面文化的转变催生了抽象思维和哲学，字母文字是西方理性传统的技术基础。,1963,CONCEPT_MEDIA_ECOLOGY,PAS_0055
PROP_DEKERCKHOVE_1995_A,SCH_DEKERCKHOVE,数字网络正在创造「联网智能」，互联网延伸了人类的神经系统，形成一种集体心智形态。,1995,CONCEPT_NETWORK_SOCIETY,PAS_0056
PROP_JANIS_1972_A,SCH_JANIS,高凝聚力群体在决策时容易产生「群体思维」，成员为维护一致性而压制异议，导致非理性决策。,1972,CONCEPT_GROUPTHINK,PAS_0090
PROP_SHAW_1972_A,SCH_SHAW,媒介通过选择性报道设置公众议程，公众对议题重要性的认知与媒介报道量呈正相关。,1972,CONCEPT_AGENDA_SETTING,PAS_0091
PROP_GROSS_1976_A,SCH_GROSS,电视对边缘群体的刻板化呈现会强化观众的偏见认知，少数群体形象的主流化是涵化效果的重要维度。,1976,CONCEPT_CULTIVATION,PAS_0092
PROP_ZHENG_GUANYING_1894_A,SCH_ZHENG_GUANYING,商战——商务乃国家富强之本，应以商立国，兴办实业，与列强进行商业竞争。,1894,CONCEPT_PRESS_FREEDOM,PAS_0093
PROP_LAM_HANGCHI_1973_A,SCH_LAM_HANGCHI,财经评论应独立客观，以专业分析服务读者，报刊是工商社会的公器。,1973,CONCEPT_FOURTH_ESTATE,PAS_0094
PROP_BO_GU_1931_A,SCH_BO_GU,红色中华通讯社是党的耳目喉舌，新华社继承其革命传统，担负党的新闻宣传使命。,1931,CONCEPT_PROPAGANDA,PAS_0080
PROP_YANG_SHANGKUN_1940_A,SCH_YANG_SHANGKUN,延安新华广播电台是党领导下的人民广播事业起点，开创了中国革命广播新纪元。,1940,CONCEPT_PROPAGANDA,PAS_0081
PROP_LIAO_CHENGZHI_1949_A,SCH_LIAO_CHENGZHI,对外宣传是让世界了解中国的窗口，应向国际社会传播中国革命的真实声音。,1949,CONCEPT_PROPAGANDA,PAS_0082
PROP_HUANG_TIANPENG_1930_A,SCH_HUANG_TIANPENG,新闻学应有完整的理论体系，从新闻本质、采访编辑到报业经营需系统研究。,1930,CONCEPT_OBJECTIVITY,PAS_0083
PROP_REN_BAITAO_1941_A,SCH_REN_BAITAO,新闻学是一门综合性学科，应融合社会学、心理学、政治学等多学科视角。,1941,CONCEPT_OBJECTIVITY,PAS_0084
PROP_FANG_HANQI_1992_A,SCH_FANG_HANQI,中国新闻事业发展有其独特规律，应从历史视角系统梳理中国新闻传播史。,1992,CONCEPT_OBJECTIVITY,PAS_0085
PROP_WHITE_1950_A,SCH_WHITE,"把关人模式：进入电讯编辑部的新闻稿件约九成被弃用，传媒组织是信息流通中实际的""把关人""，新闻选择高度依赖编辑的个人价值判断。",1950,CONCEPT_GATEKEEPING,PAS_0098
PROP_TICHENOR_1970_A,SCH_TICHENOR,知识沟假说：社会经济地位高者获取信息更快，因此大众媒介传送的信息越多，不同群体之间的知识鸿沟越大而非缩小。,1970,CONCEPT_KNOWLEDGE_GAP,PAS_0095
PROP_GOFFMAN_1974_A,SCH_GOFFMAN,框架是人们用来认识世界、定义情境、解释社会事件的认知结构——对一个人来说，真实的东西就是其对情景的定义。,1974,CONCEPT_FRAMING,PAS_0096
PROP_ENTMAN_1993_A,SCH_ENTMAN,"框架化的本质在于""选择""与""凸显""：从感知到的现实中挑选某些方面使其在传播文本中更突出，以促进特定的问题界定、因果解释、道德评价与处理建议。",1993,CONCEPT_FRAMING,PAS_0097
PROP_SUNSTEIN_2001_A,SCH_SUNSTEIN,网络是群体极化的温床：过度的自主信息选择使个人困于信息茧房与回音室，同质群体经讨论后态度比先前更加极端。,2001,CONCEPT_ECHO_CHAMBER;CONCEPT_INFORMATION_COCOON,PAS_0099
PROP_JENKINS_2006_A,SCH_JENKINS,融合文化：媒介融合不仅是技术过程更是文化过程，媒介消费者成为融合文化的积极参与者，参与式文化与跨媒体叙事由此兴起。,2006,CONCEPT_PARTICIPATORY_CULTURE;CONCEPT_MEDIA_CONVERGENCE,PAS_0100
PROP_SHIRKY_2008_A,SCH_SHIRKY,"人人时代：网络工具极大降低了协调成本，使无组织的人群得以实现分享、协同生产与集体行动——""无组织的组织力量""重塑社会协作方式。",2008,CONCEPT_ORGANIZING_WITHOUT_ORGANIZATIONS,PAS_0101
PROP_PARISER_2011_A,SCH_PARISER,过滤气泡：个性化算法依据用户的点击历史与行为数据过滤掉与其观点相左的内容，把每个人封闭在同质化的信息气泡之中。,2011,CONCEPT_FILTER_BUBBLE,PAS_0102
PROP_GUO_1999_A,SCH_GUO_QINGGUANG,《传播学教程》出版：以概念的明晰性与理论的系统性引介传播学体系，成为中国传播学学科教材化、建制化的标志性成果。,1999,,PAS_0103
PROP_CHEN_2008_A,SCH_CHEN_LIDAN,《新闻理论十讲》以十讲形式重构新闻学基本理论，将舆论分解为主体、客体、数量、强烈程度、持续性等八大要素。,2008,CONCEPT_PUBLIC_OPINION,PAS_0104
PROP_LI_1985_A,SCH_LI_LIANGRONG,建国后国内第一本《新闻学概论》教材问世，确立了中国新闻学理论教材的基本框架，此后经多次修订影响数代新闻学子。,1985,,PAS_0105
PROP_PENG_2001_A,SCH_PENG_LAN,《网络传播概论》出版，系统建构网络传播的知识体系，成为中国网络传播研究的代表性著作与高校核心教材。,2001,,PAS_0106
