influence_id,subject_type,subject_id,object_type,object_id,evidence_passage_id,year,note_zh
INF_0028,Scholar,SCH_FAN_CHANGJIANG,Scholar,SCH_ZHANG_JILUAN,PAS_0030,1936,范长江在《大公报》工作，受张季鸾新闻理念影响。
INF_0029,Scholar,SCH_ZOU_TAOFEN,Scholar,SCH_LIANG_QICHAO,PAS_0029,1930,邹韬奋继承梁启超的报刊救国思想，推动抗日舆论。
INF_0030,Scholar,SCH_XU_BAOHUANG,Scholar,SCH_PULITZER,PAS_0033,1918,徐宝璜借鉴普利策的新闻教育理念，开创中国新闻教育。
INF_0031,Scholar,SCH_BERNAYS,Scholar,SCH_IVY_LEE,PAS_0045,1923,伯奈斯在艾维·李开创的公关基础上发展理论体系。
INF_0032,Scholar,SCH_WOODWARD,Scholar,SCH_TARBELL,PAS_0039,1972,伍德沃德继承塔贝尔的调查新闻传统，揭露水门事件。
INF_0033,Scholar,SCH_MURROW,Scholar,SCH_PULITZER,PAS_0038,1940,默罗继承普利策的新闻专业主义，开创广播新闻。
INF_0034,Scholar,SCH_CASTELLS,Scholar,SCH_MCLUHAN,PAS_0041,1996,卡斯特的网络社会理论延续麦克卢汉的媒介技术决定论。
INF_0035,Scholar,SCH_MEYROWITZ,Scholar,SCH_MCLUHAN,PAS_0002,1985,梅罗维茨继承麦克卢汉思想，研究电子媒介对社会空间影响。
INF_0036,Scholar,SCH_JENKINS,Scholar,SCH_HALL,PAS_0002,2006,詹金斯的融合文化研究继承伯明翰学派的受众能动性观点。
INF_0037,Scholar,SCH_SMYTHE,Scholar,SCH_ADORNO,PAS_0011,1977,斯迈思的受众商品论受法兰克福学派文化工业批判影响。
INF_0038,Scholar,SCH_SCHILLER,Scholar,SCH_ADORNO,PAS_0011,1969,席勒的文化帝国主义理论继承法兰克福学派批判传统。
INF_0039,Scholar,SCH_MCCHESNEY,Scholar,SCH_SCHILLER,PAS_0011,1999,麦切斯尼继承席勒的批判传统，研究媒体垄断与民主。
INF_0040,Scholar,SCH_DEWEY,Scholar,SCH_COOLEY,PAS_0002,1927,杜威与库利同属芝加哥学派，共同强调传播的社会功能。
INF_0041,Scholar,SCH_WHITE,Scholar,SCH_LEWIN,PAS_0098,1950,"怀特将卢因1947年提出的""把关人""概念引入新闻传播领域，发展出新闻筛选的把关模式。"
INF_0042,Scholar,SCH_ENTMAN,Scholar,SCH_GOFFMAN,PAS_0097,1993,"恩特曼在戈夫曼《框架分析》的基础上，将框架概念发展为传播学中""选择与凸显""的操作性定义。"
