scholar_id,name_zh,name_en,description_zh,school_id,active_year
SCH_KANG_YOUWEI,康有为,Kang Youwei,维新变法领袖，创办《中外纪闻》《强学报》，倡导报刊启蒙。,SCHOOL_CN_REFORM,1895
SCH_LIANG_QICHAO,梁启超,Liang Qichao,中国近代思想启蒙家，维新派报刊活动家，提出「去塞求通」。,SCHOOL_CN_REFORM,1898
SCH_YAN_FU,严复,Yan Fu,创办《国闻报》，翻译《天演论》，主张「通上下之情」。,SCHOOL_CN_REFORM,1897
SCH_ZHANG_TAIYAN,章太炎,Zhang Taiyan,《苏报》案主角，《民报》主编，辛亥革命时期的舆论斗士。,SCHOOL_CN_REVOLUTION,1903
SCH_YU_YOUREN,于右任,Yu Youren,创办《神州日报》《民呼日报》，被誉为「元老记者」。,SCHOOL_CN_REVOLUTION,1909
SCH_CHEN_DUXIU,陈独秀,Chen Duxiu,《新青年》创办人，德先生与赛先生。,SCHOOL_CN_REVOLUTION,1915
SCH_LI_DAZHAO,李大钊,Li Dazhao,马克思主义在中国的最早传播者。,SCHOOL_CN_REVOLUTION,1919
SCH_YING_LIANZHI,英敛之,,《大公报》创始人，晚清报业改良派代表。,SCHOOL_CN_REFORM,1902
SCH_SHAO_PIAOPING,邵飘萍,Shao Piaoping,《京报》创办者，铁肩辣手，中国新闻摄影先驱，死于军阀枪下。,SCHOOL_CN_REPUBLIC,1918
SCH_LIN_BAISHUI,林白水,Lin Baishui,报界奇才，因言获罪，与邵飘萍同年遇害。,SCHOOL_CN_REPUBLIC,1926
SCH_SHI_LIANGCAI,史量才,Shi Liangcai,《申报》总经理，将其打造为中国影响最大的民营报纸，主张「国有国格，报有报格」。,SCHOOL_CN_REPUBLIC,1912
SCH_ZHANG_JILUAN,张季鸾,Zhang Jiluan,《大公报》总编辑，提出「不党、不卖、不私、不盲」四不主义。,SCHOOL_CN_REPUBLIC,1926
SCH_HU_ZHENGZHI,胡政之,Hu Zhengzhi,《大公报》总经理，开创中国报业经营管理的现代化模式。,SCHOOL_CN_REPUBLIC,1926
SCH_ZOU_TAOFEN,邹韬奋,Zou Taofen,生活书店创办人，主编《生活》周刊，抗日救亡运动的舆论旗手。,SCHOOL_CN_LEFT,1930
SCH_CHU_ANPING,储安平,Chu Anping,《观察》周刊主编，以此刊言论犀利、公正著称。,SCHOOL_CN_LIBERAL,1946
SCH_DENG_TUO,邓拓,Deng Tuo,《人民日报》总编辑，杂文集《燕山夜话》作者。,SCHOOL_CN_CPC,1950
SCH_GE_GONGZHEN,戈公振,Ge Gongzhen,新闻史学家，著有中国第一部《中国报学史》。,SCHOOL_CN_ACADEMIC,1927
SCH_XU_BAOHUANG,徐宝璜,Xu Baohuang,中国新闻教育第一人，北大新闻学研究会导师。,SCHOOL_CN_ACADEMIC,1918
SCH_FAN_CHANGJIANG,范长江,Fan Changjiang,中国著名记者，《大公报》旅行记者，开创了中国现代通讯报道的新风气。,SCHOOL_CN_REPUBLIC,1936
SCH_XIAO_QIAN,萧乾,Xiao Qian,《大公报》驻英记者，二战西线唯一的中国记者。,SCHOOL_CN_REPUBLIC,1944
SCH_WANG_YUNSHENG,王芸生,Wang Yunsheng,《大公报》著名主笔，《六十年来中国与日本》。,SCHOOL_CN_REPUBLIC,1932
SCH_QU_QIUBAI,瞿秋白,Qu Qiubai,红中社首任社长，翻译《国际歌》。,SCHOOL_CN_CPC,1931
SCH_MAO_ZEDONG,毛泽东,Mao Zedong,创办《湘江评论》，提出党报理论与群众路线。,SCHOOL_CN_CPC,1919
SCH_JIN_YONG,金庸,Jin Yong,查良镛，《明报》创办人，社论与武侠并重。,SCHOOL_HK_PRESS,1959
SCH_LIN_YUTANG,林语堂,Lin Yutang,幽默大师，曾任《语丝》撰稿人，中西文化桥梁。,SCHOOL_CN_REPUBLIC,1930
SCH_LU_XUN,鲁迅,Lu Xun,杂文家，曾主编《奔流》《语丝》，以笔为枪。,SCHOOL_CN_CRITICAL,1918
SCH_HALL,霍尔,Stuart Hall,伯明翰学派领袖，提出「编码/解码」理论。,SCHOOL_BIRMINGHAM,1973
SCH_SMYTHE,斯迈思,Dallas Smythe,提出「受众商品」论。,SCHOOL_POLITICAL_ECO,1977
SCH_SCHILLER,席勒,Herbert Schiller,研究「文化帝国主义」。,SCHOOL_POLITICAL_ECO,1969
SCH_MCCHESNEY,麦切斯尼,Robert McChesney,研究富媒体与民主危机。,SCHOOL_POLITICAL_ECO,1999
SCH_CHOMSKY,乔姆斯基,Noam Chomsky,生成语法，普遍语法，制造共识。,SCHOOL_LINGUISTICS,1957
SCH_ADORNO,阿多诺,Theodor Adorno,法兰克福学派核心成员，批判理论代表，与霍克海默合著《启蒙辩证法》。,SCHOOL_FRANKFURT,1944
SCH_HORKHEIMER,霍克海默,Max Horkheimer,法兰克福学派创始人，批判理论奠基人，提出传统理论与批判理论的区分。,SCHOOL_FRANKFURT,1937
SCH_MARCUSE,马尔库塞,Herbert Marcuse,法兰克福学派成员，《单向度的人》作者，新左派精神导师。,SCHOOL_FRANKFURT,1964
SCH_BENJAMIN,本雅明,Walter Benjamin,德国文化批评家，《机械复制时代的艺术作品》作者。,SCHOOL_FRANKFURT,1936
SCH_FROMM,弗洛姆,Erich Fromm,精神分析学家与社会批评家，《逃避自由》作者。,SCHOOL_FRANKFURT,1941
SCH_KRACAUER,克拉考尔,Siegfried Kracauer,德国文化批评家与电影理论家，法兰克福学派早期成员。,SCHOOL_FRANKFURT,1947
SCH_LOWENTHAL,洛文塔尔,Leo Löwenthal,法兰克福学派成员，研究大众文化与文学社会学。,SCHOOL_FRANKFURT,1957
SCH_SHANNON,香农,Claude Shannon,信息论之父，提出信息的数学理论，奠定现代通信基础。,SCHOOL_INFO_THEORY,1948
SCH_WEAVER,韦弗,Warren Weaver,与香农合作发展信息论，扩展其社会应用。,SCHOOL_INFO_THEORY,1949
SCH_WIENER,维纳,Norbert Wiener,控制论之父，《控制论》作者，研究通信与控制。,SCHOOL_CYBERNETICS,1948
SCH_COOLEY,库利,Charles Horton Cooley,美国社会学家，提出「镜中我」理论，将传播置于社会关系核心。,SCHOOL_CHICAGO,1909
SCH_DEWEY,杜威,John Dewey,美国实用主义哲学家，强调传播对民主社会的重要性。,SCHOOL_PRAGMATISM,1927
SCH_BERELSON,贝雷尔森,Bernard Berelson,内容分析方法先驱，哥伦比亚学派成员。,SCHOOL_COLUMBIA,1952
SCH_RIESMAN,里斯曼,David Riesman,《孤独的人群》作者，研究大众社会与传播。,SCHOOL_COLUMBIA,1950
SCH_STOUFFER,斯托弗,Samuel Stouffer,社会调查方法专家，芝加哥学派成员。,SCHOOL_CHICAGO,1949
SCH_CASTELLS,卡斯特,Manuel Castells,西班牙社会学家，网络社会理论创始人，《信息时代三部曲》作者。,SCHOOL_NETWORK,1996
SCH_MEYROWITZ,梅罗维茨,Joshua Meyrowitz,《消失的地域》作者，研究电子媒介对社会空间的影响。,SCHOOL_MEDIA_ECOLOGY,1985
SCH_BLUMLER,布卢姆勒,Jay Blumler,使用与满足理论发展者，政治传播研究先驱。,SCHOOL_USES_GRATIFICATIONS,1974
SCH_MCQUAIL,麦奎尔,Denis McQuail,《大众传播理论》作者，欧洲传播学代表人物。,SCHOOL_EUROPEAN,1983
SCH_LUHMANN,卢曼,Niklas Luhmann,德国社会学家，社会系统论代表，研究大众媒介作为社会系统。,SCHOOL_SYSTEMS,1984
SCH_KITTLER,基特勒,Friedrich Kittler,德国媒介理论家，技术媒介学派创始人。,SCHOOL_GERMAN_MEDIA,1986
SCH_JENKINS,詹金斯,Henry Jenkins,融合文化与参与式文化研究者，《融合文化》作者。,SCHOOL_CULTURAL_STUDIES,2006
SCH_HUANG_YUANYONG,黄远庸,Huang Yuanyong,中国第一位现代意义上的记者，民国初年著名政论家。,SCHOOL_CN_REPUBLIC,1912
SCH_CHENG_SHEWO,成舍我,Cheng Shewo,著名报人，创办《世界晚报》《立报》等多家报纸。,SCHOOL_CN_REPUBLIC,1924
SCH_WANG_KANGNIAN,汪康年,Wang Kangnian,《时务报》创办人之一，晚清维新派报人。,SCHOOL_CN_REFORM,1896
SCH_QIU_JIN,秋瑾,Qiu Jin,《中国女报》创办人，革命女杰，巾帼英雄。,SCHOOL_CN_REVOLUTION,1907
SCH_PENG_YIZHONG,彭翼仲,Peng Yizhong,《京话日报》《启蒙画报》创办人，白话报先驱。,SCHOOL_CN_REFORM,1904
SCH_ZHAN_DABEI,詹大悲,Zhan Dabei,《大江报》创办人，因发表《大乱者救中国之妙药也》被捕。,SCHOOL_CN_REVOLUTION,1911
SCH_CHEN_YOUREN,陈友仁,Eugene Chen,英文《京报》创办人，国民政府外交部长。,SCHOOL_CN_REPUBLIC,1917
SCH_DENG_JIXI,邓季惺,Deng Jixi,《新民报》创办人之一，著名女报人。,SCHOOL_CN_REPUBLIC,1929
SCH_WILLIAMS,威廉斯,Raymond Williams,英国文化研究奠基人，提出「文化是普通的」，著有《文化与社会》《漫长的革命》。,SCHOOL_BIRMINGHAM,1958
SCH_HOGGART,霍加特,Richard Hoggart,伯明翰当代文化研究中心创始人，著有《识字的用途》，研究工人阶级文化。,SCHOOL_BIRMINGHAM,1957
SCH_EP_THOMPSON,E.P.汤普森,E.P. Thompson,英国马克思主义历史学家，《英国工人阶级的形成》作者，文化研究重要先驱。,SCHOOL_BIRMINGHAM,1963
SCH_MCROBBIE,麦克罗比,Angela McRobbie,伯明翰学派第二代代表，研究青年亚文化与女性主义媒介批评。,SCHOOL_BIRMINGHAM,1991
SCH_MORLEY,莫利,David Morley,伯明翰学派成员，《全国观众》作者，研究电视受众的解码实践。,SCHOOL_BIRMINGHAM,1980
SCH_FISKE,费斯克,John Fiske,文化研究学者，《理解大众文化》作者，研究受众的积极性与快感政治。,SCHOOL_BIRMINGHAM,1989
SCH_SARNOFF,大卫·萨诺夫,David Sarnoff,NBC创始人，美国广播业之父，推动广播电视商业化发展。,SCHOOL_BROADCAST,1926
SCH_PALEY,威廉·佩利,William Paley,CBS创始人，将CBS打造成美国三大广播网之一。,SCHOOL_BROADCAST,1928
SCH_WALTERS,芭芭拉·沃尔特斯,Barbara Walters,美国电视新闻女先驱，首位女性晚间新闻主播，开创名人访谈节目。,SCHOOL_BROADCAST,1976
SCH_TURNER,特德·特纳,Ted Turner,CNN创始人，开创24小时有线新闻网模式，改变电视新闻格局。,SCHOOL_BROADCAST,1980
SCH_PAGE,亚瑟·佩奇,Arthur Page,AT&T公关先驱，提出企业公关理论与佩奇原则。,SCHOOL_PR,1927
SCH_BYOIR,卡尔·博伊尔,Carl Byoir,现代公关公司创始人，开创全服务公关公司模式。,SCHOOL_PR,1930
SCH_BURSON,哈罗德·伯森,Harold Burson,博雅公关(Burson-Marsteller)创始人，全球最大公关公司之一的缔造者。,SCHOOL_PR,1953
SCH_DAN_SCHILLER,丹·席勒,Dan Schiller,赫伯特·席勒之子，数字资本主义研究先驱，著有《数字资本主义》。,SCHOOL_POLITICAL_ECO,1999
SCH_MOSCO,文森特·莫斯可,Vincent Mosco,传播政治经济学代表人物，著有《传播政治经济学》。,SCHOOL_POLITICAL_ECO,1996
SCH_MURDOCK,格雷厄姆·默多克,Graham Murdock,英国传播政治经济学者，研究媒体所有权与公共文化。,SCHOOL_POLITICAL_ECO,1982
SCH_LEVINSON,保罗·莱文森,Paul Levinson,新新媒介研究者，著有《数字麦克卢汉》《新新媒介》。,SCHOOL_MEDIA_ECOLOGY,1999
SCH_STRATE,兰斯·斯特拉特,Lance Strate,媒介生态学协会创始人，福特汉姆大学教授。,SCHOOL_MEDIA_ECOLOGY,1998
SCH_NYSTROM,克里斯汀·尼斯特龙,Christine Nystrom,媒介生态学教育家，纽约大学教授，波兹曼的同事。,SCHOOL_MEDIA_ECOLOGY,1973
SCH_JANIS,欧文·贾尼斯,Irving Janis,耶鲁学派成员，群体思维研究先驱，著有《群体思维的受害者》。,SCHOOL_YALE,1972
SCH_SHAW,唐纳德·肖,Donald Shaw,与麦库姆斯共同提出「议程设置」理论，传播学重要学者。,SCHOOL_AGENDA,1972
SCH_GROSS,拉里·格罗斯,Larry Gross,格伯纳的长期合作者，共同发展涵化理论，LGBTQ媒介研究先驱。,SCHOOL_CULTIVATION,1976
SCH_ZHENG_GUANYING,郑观应,Zheng Guanying,《盛世危言》作者，近代报刊思想先驱，主张商战与报刊启蒙。,SCHOOL_CN_EARLY,1894
SCH_LAM_HANGCHI,林行止,Lam Hang-chi,《信报》创办人，香港财经评论家，笔耕不辍四十余年。,SCHOOL_HK_PRESS,1973
SCH_PARK,罗伯特·帕克,Robert Park,芝加哥学派创始人之一，城市社会学奠基人，研究城市生态与传播。,SCHOOL_CHICAGO,1921
SCH_MEAD,乔治·米德,George Herbert Mead,符号互动论创始人，研究自我与社会的互动关系。,SCHOOL_CHICAGO,1934
SCH_BLUMER,赫伯特·布鲁默,Herbert Blumer,符号互动论命名者与系统化者，米德学生。,SCHOOL_CHICAGO,1937
SCH_ONG,沃尔特·翁,Walter Ong,口语文化与书面文化研究先驱，《口语文化与书面文化》作者。,SCHOOL_TORONTO,1982
SCH_HAVELOCK,埃里克·哈弗洛克,Eric Havelock,古希腊口语文化研究专家，《柏拉图导论》作者。,SCHOOL_TORONTO,1963
SCH_DEKERCKHOVE,德里克·德科霍夫,Derrick de Kerckhove,麦克卢汉弟子，多伦多大学麦克卢汉项目主任，研究数字媒介。,SCHOOL_TORONTO,1995
SCH_BO_GU,博古,Bo Gu,原名秦邦宪，红色中华通讯社（红中社）和新华社早期领导人，曾任中共中央负责人。,SCHOOL_CN_CPC,1931
SCH_YANG_SHANGKUN,杨尚昆,Yang Shangkun,延安新华广播电台创建者之一，曾任中共中央办公厅主任，后任国家主席。,SCHOOL_CN_CPC,1940
SCH_LIAO_CHENGZHI,廖承志,Liao Chengzhi,曾任新华社社长，主管对外宣传工作，致力于中日友好和侨务工作。,SCHOOL_CN_CPC,1949
SCH_HUANG_TIANPENG,黄天鹏,Huang Tianpeng,民国时期著名新闻学者，著有《新闻学概论》等多部新闻学著作。,SCHOOL_CN_ACADEMIC,1930
SCH_REN_BAITAO,任白涛,Ren Baitao,新闻学者，著有《综合新闻学》，系统阐述新闻学理论。,SCHOOL_CN_ACADEMIC,1941
SCH_FANG_HANQI,方汉奇,Fang Hanqi,当代中国新闻史研究泰斗，中国人民大学教授，著有《中国新闻事业通史》。,SCHOOL_CN_ACADEMIC,1992
